Time,Velocity,Angle theta,Position x,Position y,Delta x,Delta y
0,0,1.5708,0,-2,0,0
0.1,0.343257,1.5708,0,-2,0,0
0.2,0.682405,1.5708,2.10E-18,-1.96567,2.10E-18,0.0343257
0.3,1.01636,1.5708,6.28E-18,-1.89743,4.18E-18,0.0682405
0.4,1.33579,1.5708,1.25E-17,-1.7958,6.22E-18,0.101636
0.5,1.63076,1.5708,2.07E-17,-1.66222,8.18E-18,0.133579
0.6,1.89142,1.5708,3.07E-17,-1.49914,9.99E-18,0.163076
0.7,2,1.5708,4.23E-17,-1.31,1.16E-17,0.189142
0.8,2,1.5708,5.45E-17,-1.11,1.22E-17,0.2
0.9,2,1.5708,6.67E-17,-0.910001,1.22E-17,0.2
1,2,1.5708,7.90E-17,-0.710001,1.22E-17,0.2
1.1,2,1.5708,9.12E-17,-0.510001,1.22E-17,0.2
1.2,2,1.5708,1.03E-16,-0.310001,1.22E-17,0.2
1.3,2,1.5708,1.16E-16,-0.110001,1.22E-17,0.2
1.4,2,1.5708,1.28E-16,0.0899988,1.22E-17,0.2
1.5,2,1.5708,1.40E-16,0.289999,1.22E-17,0.2
1.6,2,1.5708,1.08E-16,0.489999,-3.22E-17,0.2
1.7,2,1.5708,7.59E-17,0.689999,-3.22E-17,0.2
1.8,2,1.5708,4.37E-17,0.889999,-3.22E-17,0.2
1.9,2,1.5708,1.16E-17,1.09,-3.22E-17,0.2
2,2,1.5708,-2.06E-17,1.29,-3.22E-17,0.2
2.1,2,1.5708,-5.28E-17,1.49,-3.22E-17,0.2
2.2,2,1.5708,-8.49E-17,1.69,-3.22E-17,0.2
2.3,2,1.5708,-1.17E-16,1.89,-3.22E-17,0.2
2.4,2,1.5708,-1.49E-16,2.09,-3.22E-17,0.2
2.5,2,1.5708,-1.81E-16,2.29,-3.22E-17,0.2
2.6,2,1.5708,-2.14E-16,2.49,-3.22E-17,0.2
2.7,2,1.5708,-2.46E-16,2.69,-3.22E-17,0.2
2.8,2,1.5708,-2.33E-16,2.89,1.22E-17,0.2
2.9,2,1.5708,-2.21E-16,3.09,1.22E-17,0.2
3,2,1.5708,-2.09E-16,3.29,1.22E-17,0.2
3.1,2,1.5708,-1.97E-16,3.49,1.22E-17,0.2
3.2,2,1.5708,-1.84E-16,3.69,1.22E-17,0.2
3.3,2,1.5708,-1.72E-16,3.89,1.22E-17,0.2
3.4,2,1.5708,-1.60E-16,4.09,1.22E-17,0.2
3.5,2,1.5708,-1.48E-16,4.29,1.22E-17,0.2
3.6,2,1.5708,-1.36E-16,4.49,1.22E-17,0.2
3.7,2,1.5708,-1.23E-16,4.69,1.22E-17,0.2
3.8,2,1.5708,-1.11E-16,4.89,1.22E-17,0.2
3.9,2,1.5708,-9.88E-17,5.09,1.22E-17,0.2
4,2,1.5708,-8.65E-17,5.29,1.22E-17,0.2
4.1,2,1.5708,-7.43E-17,5.49,1.22E-17,0.2
4.2,2,1.5708,-6.20E-17,5.69,1.22E-17,0.2
4.3,2,1.5708,-4.98E-17,5.89,1.22E-17,0.2
4.4,2,1.5708,-3.75E-17,6.09,1.22E-17,0.2
4.5,2,1.5708,-2.53E-17,6.29,1.22E-17,0.2
4.6,2,1.5708,-1.30E-17,6.49,1.22E-17,0.2
4.7,2,1.5708,-7.98E-19,6.69,1.22E-17,0.2
4.8,2,1.5708,1.14E-17,6.89,1.22E-17,0.2
4.9,2,1.5708,2.37E-17,7.09,1.22E-17,0.2
5,2,1.5708,3.59E-17,7.29,1.22E-17,0.2
5.1,2,1.5708,4.82E-17,7.49,1.22E-17,0.2
5.2,2,1.5708,6.04E-17,7.69,1.22E-17,0.2
5.3,2,1.5708,7.27E-17,7.89,1.22E-17,0.2
5.4,2,1.5708,8.49E-17,8.09,1.22E-17,0.2
5.5,2,1.5708,9.72E-17,8.29,1.22E-17,0.2
5.6,2,1.5708,1.09E-16,8.49,1.22E-17,0.2
5.7,2,1.5708,1.22E-16,8.69,1.22E-17,0.2
5.8,2,1.5708,1.34E-16,8.89,1.22E-17,0.2
5.9,2,1.5708,1.46E-16,9.09,1.22E-17,0.2
6,2,1.5708,1.58E-16,9.29,1.22E-17,0.2
6.1,2,1.5708,1.26E-16,9.49,-3.22E-17,0.2
6.2,2,1.5708,9.41E-17,9.69,-3.22E-17,0.2
6.3,2,1.5708,6.19E-17,9.89,-3.22E-17,0.2
6.4,2,1.5708,2.98E-17,10.09,-3.22E-17,0.2
6.5,2,1.5708,-2.41E-18,10.29,-3.22E-17,0.2
6.6,2,1.5708,-3.46E-17,10.49,-3.22E-17,0.2
6.7,2,1.5708,-6.67E-17,10.69,-3.22E-17,0.2
6.8,2,1.5708,-9.89E-17,10.89,-3.22E-17,0.2
6.9,2,1.5708,-1.31E-16,11.09,-3.22E-17,0.2
7,2,1.5708,-1.63E-16,11.29,-3.22E-17,0.2
7.1,2,1.5708,-1.95E-16,11.49,-3.22E-17,0.2
7.2,2,1.5708,-2.28E-16,11.69,-3.22E-17,0.2
7.3,2,1.5708,-2.15E-16,11.89,1.22E-17,0.2
7.4,2,1.5708,-2.03E-16,12.09,1.22E-17,0.2
7.5,2,1.5708,-1.91E-16,12.29,1.22E-17,0.2
7.6,2,1.5708,-1.79E-16,12.49,1.22E-17,0.2
7.7,2,1.5708,-1.66E-16,12.69,1.22E-17,0.2
7.8,2,1.5708,-1.54E-16,12.89,1.22E-17,0.2
7.9,2,1.5708,-1.42E-16,13.09,1.22E-17,0.2
8,2,1.5708,-1.30E-16,13.29,1.22E-17,0.2
8.1,2,1.5708,-1.17E-16,13.49,1.22E-17,0.2
8.2,2,1.5708,-1.05E-16,13.69,1.22E-17,0.2
8.3,2,1.5708,-9.28E-17,13.89,1.22E-17,0.2
8.4,2,1.5708,-8.06E-17,14.09,1.22E-17,0.2
8.5,2,1.5708,-6.83E-17,14.29,1.22E-17,0.2
8.6,2,1.5708,-5.61E-17,14.49,1.22E-17,0.2
8.7,2,1.5708,-4.38E-17,14.69,1.22E-17,0.2
8.8,2,1.5708,-3.16E-17,14.89,1.22E-17,0.2
8.9,2,1.5708,-1.94E-17,15.09,1.22E-17,0.2
9,2,1.5708,-7.11E-18,15.29,1.22E-17,0.2
9.1,2,1.5708,5.14E-18,15.49,1.22E-17,0.2
9.2,2,1.5708,1.74E-17,15.69,1.22E-17,0.2
9.3,2,1.5708,2.96E-17,15.89,1.22E-17,0.2
9.4,2,1.5708,4.19E-17,16.09,1.22E-17,0.2
9.5,2,1.5708,5.41E-17,16.29,1.22E-17,0.2
9.6,2,1.5708,6.64E-17,16.49,1.22E-17,0.2
9.7,2,1.5708,7.86E-17,16.69,1.22E-17,0.2
9.8,2,1.5708,9.09E-17,16.89,1.22E-17,0.2
9.9,2,1.5708,1.03E-16,17.09,1.22E-17,0.2
10,2,1.5708,1.15E-16,17.29,1.22E-17,0.2
10.1,2,1.5708,1.28E-16,17.49,1.22E-17,0.2
10.2,2,1.5708,1.40E-16,17.69,1.22E-17,0.2
10.3,2,1.5708,1.52E-16,17.89,1.22E-17,0.2
