Waypoint X,Waypoint Y
0,0
0,1.0101
0,2.0202
0,3.0303
0,4.0404
0,5.05051
0,6.06061
0,7.07071
0,8.08081
0,9.09091
0,10.101
0,11.1111
0,12.1212
0,13.1313
0,14.1414
0,15.1515
0,16.1616
0,17.1717
0,18.1818
0,19.1919
0,20.202
0,21.2121
0,22.2222
0,23.2323
0,24.2424
0,25.2525
0,26.2626
0,27.2727
0,28.2828
0,29.2929
0,30.303
0,31.3131
0,32.3232
0,33.3333
0,34.3434
0,35.3535
0,36.3636
0,37.3737
0,38.3838
0,39.3939
0,40.404
0,41.4141
0,42.4242
0,43.4343
0,44.4444
0,45.4545
0,46.4646
0,47.4747
0,48.4848
0,49.4949
0,50.5051
0,51.5152
0,52.5253
0,53.5354
0,54.5455
0,55.5556
0,56.5657
0,57.5758
0,58.5859
0,59.596
0,60.6061
0,61.6162
0,62.6263
0,63.6364
0,64.6465
0,65.6566
0,66.6667
0,67.6768
0,68.6869
0,69.697
0,70.7071
0,71.7172
0,72.7273
0,73.7374
0,74.7475
0,75.7576
0,76.7677
0,77.7778
0,78.7879
0,79.798
0,80.8081
0,81.8182
0,82.8283
0,83.8384
0,84.8485
0,85.8586
0,86.8687
0,87.8788
0,88.8889
0,89.899
0,90.9091
0,91.9192
0,92.9293
0,93.9394
0,94.9495
0,95.9596
0,96.9697
0,97.9798
0,98.9899
0,100
0,100
0.0340967,100.411
0.135457,100.812
0.301316,101.19
0.527149,101.536
0.806796,101.839
1.13263,102.093
1.49576,102.289
1.88629,102.424
2.29355,102.491
2.70645,102.491
3.11371,102.424
3.50424,102.289
3.86737,102.093
4.1932,101.839
4.47285,101.536
4.69868,101.19
4.86454,100.812
4.9659,100.411
5,100
5,100
5,98.9899
5,97.9798
5,96.9697
5,95.9596
5,94.9495
5,93.9394
5,92.9293
5,91.9192
5,90.9091
5,89.899
5,88.8889
5,87.8788
5,86.8687
5,85.8586
5,84.8485
5,83.8384
5,82.8283
5,81.8182
5,80.8081
5,79.798
5,78.7879
5,77.7778
5,76.7677
5,75.7576
5,74.7475
5,73.7374
5,72.7273
5,71.7172
5,70.7071
5,69.697
5,68.6869
5,67.6768
5,66.6667
5,65.6566
5,64.6465
5,63.6364
5,62.6263
5,61.6162
5,60.6061
5,59.596
5,58.5859
5,57.5758
5,56.5657
5,55.5556
5,54.5455
5,53.5354
5,52.5253
5,51.5152
5,50.5051
5,49.4949
5,48.4848
5,47.4747
5,46.4646
5,45.4545
5,44.4444
5,43.4343
5,42.4242
5,41.4141
5,40.404
5,39.3939
5,38.3838
5,37.3737
5,36.3636
5,35.3535
5,34.3434
5,33.3333
5,32.3232
5,31.3131
5,30.303
5,29.2929
5,28.2828
5,27.2727
5,26.2626
5,25.2525
5,24.2424
5,23.2323
5,22.2222
5,21.2121
5,20.202
5,19.1919
5,18.1818
5,17.1717
5,16.1616
5,15.1515
5,14.1414
5,13.1313
5,12.1212
5,11.1111
5,10.101
5,9.09091
5,8.08081
5,7.07071
5,6.06061
5,5.05051
5,4.0404
5,3.0303
5,2.0202
5,1.0101
5,0
5,0
5.0341,-0.411486
5.13546,-0.811749
5.30132,-1.18987
5.52715,-1.53553
5.8068,-1.83931
6.13263,-2.09292
6.49576,-2.28943
6.88629,-2.4235
7.29355,-2.49146
7.70645,-2.49146
